Intensity,Weight
251.61405711662076,143.6
252.43427114624507,143.6
250.34160385674932,143.6
251.84036987263943,143.6
252.27811487603304,143.6
253.2926022956841,143.6
250.77937101449277,143.6
252.97861313131312,143.6
246.61446345270892,143.6
247.84791359044996,143.6
245.59864892402283,143.6
249.48784382960037,143.6
253.7808471992654,143.6
250.9975199265381,143.6
247.58650004391743,143.6
254.66752764003672,143.6
249.89204086317721,143.6
250.80670830039526,170.7
252.98437233201582,170.7
249.6427684672815,170.7
250.80525155906895,170.7
251.37289714536672,170.7
252.2588038647343,170.7
249.95022564778216,170.7
252.3552267018006,170.7
244.74946613965744,170.7
247.84368599033817,170.7
244.14083943785684,170.7
247.5497990338164,170.7
253.93077760210804,170.7
250.5898261747914,170.7
244.91735151515152,170.7
254.4339153271849,170.7
248.39326376811593,170.7
250.3842882740448,183.2
252.54380439174352,183.2
249.94657391304347,183.2
250.0069310496267,183.2
251.2187589811155,183.2
252.06757215634607,183.2
249.86260017566974,183.2
252.378795256917,183.2
242.56559631093543,183.2
247.29665463328942,183.2
243.8482585858586,183.2
247.76976829161177,183.2
253.96359877031182,183.2
250.09984259991217,183.2
244.76348950373298,183.2
254.41943855950814,183.2
247.29592226613966,183.2
249.779345087236,205.0
252.40725718050066,205.0
248.36214471992653,205.0
250.57521791831357,205.0
249.85292084481176,205.0
251.1157820936639,205.0
249.48398410188844,205.0
251.49001120293846,205.0
241.42845564738292,205.0
246.42191781450873,205.0
243.12154668423364,205.0
247.12528133509002,205.0
253.79229155188247,205.0
248.84476464646465,205.0
243.94693017127798,205.0
254.02755821854913,205.0
245.08528696051422,205.0
